ID,Mother,RDistanceMoved_cm,RMeanSpeed,RMeanAngularSpd,RMeanMeander,RMeanMobility
101,2,8.98,0.44,536.78,1604.84,18.18
102,2,45.99,1.38,16.67,-509.79,25.6
105,2,18.7,0.56,-11.91,300.74,14.51
106,2,20.53,0.61,-6.29,-204.81,12.97
107,2,22.78,0.69,-39.47,-1686.17,26.25
108,2,71.05,2.12,52.24,73.21,33.7
109,2,43.91,1.32,-68.15,2524.68,30.18
110,2,26.63,0.9,-26.1,-352.89,28.88
112,2,12.25,0.37,81.17,1033.78,12.78
113,2,6.1,0.18,21.73,-2453.87,8.68
116,2,9.78,0.3,5.36,-6086.74,12.76
117,2,39.02,1.17,-52.98,-441.49,29.55
119,2,16.61,0.5,49.79,-43.52,16.17
11,1,37.14,1.12,-48.81,-1740.61,16.9
123,2,13.59,0.41,97.75,1165.79,15.25
124,2,47.24,1.62,83.17,504.43,38.17
126,2,38.39,1.43,163.75,-348.53,25.16
129,2,54.81,1.66,4.38,-250.93,34.73
12,1,40.37,1.24,-11.07,-266.07,22.4
143,2,26.72,0.82,-39.8,-63.73,49.66
145,2,27.99,0.84,-37.42,-1004.9,25.25
149,2,11.37,0.34,5.58,-1333.61,20.76
150,2,6.56,0.2,98.14,868.28,11.87
156,2,11.2,0.34,25.93,1425.71,24.15
159,2,25,0.76,-120.76,-803.12,30.45
162,2,17.71,0.53,-41.86,-230.12,34.84
163,2,3.66,0.11,-35.76,-1623220,19.39
166,2,35.84,1.08,-20.17,91.42,32.62
167,2,26.76,0.81,-0.97,-13.7,39.29
168,2,12.66,0.38,3.38,-804.74,25.49
16,1,23.04,0.7,-59.16,-527.65,15.69
170,2,73.4,2.21,21.89,293.05,46.99
173,2,24.39,0.73,7.8,77.83,32.84
179,2,32.3,0.97,-8.38,110.12,25.64
180,2,49.21,1.51,-35.84,-201.9,42.11
181,2,36.69,1.09,1.31,-671.03,33.97
182,2,52.98,1.59,-0.2,17.74,49.61
186,2,62.66,1.89,19.34,33.86,46.5
18,1,10.15,0.32,61.03,1438.87,14.62
190,2,54.46,1.63,37.66,173.89,33.66
19,1,17.41,0.52,-36.24,-1402.01,9.78
21,1,43.86,1.5,17.39,-176.31,35.13
22,1,26.31,0.82,-9.21,-600.65,15.01
24,1,22,0.66,-2.43,199.72,13.15
25,1,10.92,0.36,114.48,8921.29,9.6
29,1,6.16,0.19,67.89,-1972.5,5.32
30,1,14.72,0.44,-11.59,-403.22,12.87
34,1,27.15,0.85,31.73,-163.27,21.64
36,1,15.14,0.48,-35.53,-129.81,12.97
37,1,46.12,1.4,12.02,339.46,26.99
39,1,21.89,0.69,-16.11,-121.68,19
40,1,13.17,0.4,65.99,13093.2,10.65
49,1,20.51,0.63,-34.27,-78.93,12.16
51,1,3.84,0.12,98.88,-424.53,3.39
52,1,31.79,1.09,-50.95,-644.79,17.02
53,1,28.03,0.8,17.46,-115.48,24.52
54,1,48.06,1.55,-15.85,224.68,31.26
56,1,19.74,0.66,54.1,-621.87,19.91
57,1,22.71,0.76,56.4,488.24,24.49
58,1,32.25,0.97,-29,-450.11,25.37
5,1,15.99,0.48,-13.75,-525.21,9.93
61,1,18.18,0.55,-16.68,53.97,12.16
62,1,5.46,0.16,-3.58,11325.4,6.67
63,1,36.26,1.21,10.13,-143.05,20.44
66,1,8.73,0.26,46.57,3472.37,11.22
67,1,40.01,1.21,46.01,123.97,26.76
68,1,39.22,1.48,-8.22,147.59,34.75
69,1,20.82,0.63,-91.07,-722.24,14.68
6,1,11.03,0.33,18.43,1306.71,7.09
70,1,19.32,0.7,76.16,1822.97,14.25
71,1,22.54,0.76,2.97,253.99,16.64
72,1,5.4,0.18,65.74,5483.83,6.04
76,1,5.49,0.18,19.95,-2041.64,5.12
8,1,25.28,1.01,43.68,668.62,25.93
92,1,29.22,0.96,73.16,368.34,17.87
93,1,37.3,1,21.31,-42.97,24.52
