"ID" "Group"
"1" "61" "Low"
"2" "182" "Low"
"3" "186" "Low"
"4" "159" "Low"
"5" "63" "Low"
"6" "69" "Low"
"7" "173" "Low"
"8" "168" "Low"
"9" "54" "Low"
"10" "70" "Low"
"11" "143" "Low"
"12" "93" "Low"
"13" "58" "Low"
"14" "163" "Low"
"15" "156" "Medium"
"16" "167" "Medium"
"17" "67" "Medium"
"18" "49" "Medium"
"19" "56" "Medium"
"20" "51" "Medium"
"21" "166" "Medium"
"22" "76" "Medium"
"23" "180" "Medium"
"24" "190" "Medium"
"25" "68" "Medium"
"26" "62" "Medium"
"27" "162" "Medium"
"28" "53" "High"
"29" "57" "High"
"30" "66" "High"
"31" "145" "High"
"32" "150" "High"
"33" "71" "High"
"34" "52" "High"
"35" "92" "High"
"36" "181" "High"
"37" "179" "High"
"38" "72" "High"
"39" "149" "High"
"40" "170" "High"
