Serial,Replicate,Test,Fish,Size_mm,Date,Aresp,Alateraliz,AReacDist_cm,ALatency_ms,AResp_dist_cm,AResp_spd_mms,AResp_MX_spd,At2mxspd_s,Aresp_dur_s,Amx_accel,At2mxaccel,VResp_dist_cm,VResp_spd_mms,VMeanAngSpd,VMeanMeander,VMeanMobility,RDistanceMoved_cm,RMeanSpeed,RMeanAngularSpd,RMeanMeander,RMeanMobility
147,2,Visual,3,10.705,41726,0,1,,,,,,,,,,5.52,2.54,590.97,-170.2,48.07,8.98,0.44,536.78,1604.84,18.18
148,2,Visual,4,11.364,41726,1,1,7.08,854.2,,,,,,,,4.59,0.96,78.87,-457.92,24.41,45.99,1.38,16.67,-509.79,25.6
151,2,Visual,7,10.835,41726,1,1,8.87,825,,,,,,,,9.23,2.45,15.84,389.52,49.08,18.7,0.56,-11.91,300.74,14.51
152,2,Visual,8,9.611,41726,1,1,4.42,908.3,,,,,,,,2.73,8.18,30.06,-48.14,82.03,20.53,0.61,-6.29,-204.81,12.97
153,2,Visual,9,11.504,41726,1,0,3.09,916.7,,,,,,,,5.96,3.03,-18.04,65.28,43.05,22.78,0.69,-39.47,-1686.17,26.25
154,2,Visual,10,11.202,41726,0,1,,,,,,,,,,2.83,6.05,196.74,159.43,67.95,71.05,2.12,52.24,73.21,33.7
155,2,Visual,11,11.69,41726,0,0,,,,,,,,,,3.44,1.15,422.06,832.69,30.11,43.91,1.32,-68.15,2524.68,30.18
156,2,Visual,12,10.914,41726,0,0,,,,,,,,,,6.08,2.22,-197.27,-240.97,46.49,26.63,0.9,-26.1,-352.89,28.88
158,2,Visual,14,8.975,41726,1,1,8.27,1000,,,,,,,,1.72,2.86,176.62,-207.65,37.94,12.25,0.37,81.17,1033.78,12.78
159,2,Visual,15,10.116,41726,1,0,2.28,920.8,,,,,,,,8.19,9.09,-129.55,42.25,80.32,6.1,0.18,21.73,-2453.87,8.68
163,2,Visual,19,11.87,41726,1,1,8.28,887.5,,,,,,,,3.63,3.03,-175.42,13.39,41.16,9.78,0.3,5.36,-6086.74,12.76
164,2,Visual,20,10.191,41726,0,0,,,,,,,,,,7.85,2.5,413.88,1303.29,44.04,39.02,1.17,-52.98,-441.49,29.55
166,2,Visual,22,10.152,41726,0,1,,,,,,,,,,11.05,3.09,450.51,-862.24,44.2,16.61,0.5,49.79,-43.52,16.17
59,1,Visual,11,12.537,41618,1,1,4.53,908.3,,,,,,,,5.95,7.44,76.39,-20.07,84.28,37.14,1.12,-48.81,-1740.61,16.9
170,2,Visual,26,11,41726,1,1,8.54,866.7,,,,,,,,15.98,4.84,138,-310.28,62.45,13.59,0.41,97.75,1165.79,15.25
172,2,Visual,28,10.759,41726,0,0,,,,,,,,,,4.35,1.06,310.78,360.46,37.53,47.24,1.62,83.17,504.43,38.17
174,2,Visual,30,10.053,41726,1,0,3.02,987.5,,,,,,,,3.82,1.47,694.18,1308.64,24.58,38.39,1.43,163.75,-348.53,25.16
178,2,Visual,34,10.614,41726,1,0,0.91,975,,,,,,,,5.03,1.02,-41.06,-909.91,37.05,54.81,1.66,4.38,-250.93,34.73
60,1,Visual,12,12.356,41618,1,1,2.13,929.2,,,,,,,,2.52,8.38,138.06,-19.07,85.33,40.37,1.24,-11.07,-266.07,22.4
97,2,Acoustic,1,11.31,41725,1,1,,8.3,1.33,23.34,67.65,0.004,0.054,3236.2,0.021,,,,,,26.72,0.82,-39.8,-63.73,49.66
99,2,Acoustic,3,10.894,41725,1,0,,20.8,1.62,34.93,69.61,0.042,0.046,12768.7,0.042,,,,,,27.99,0.84,-37.42,-1004.9,25.25
103,2,Acoustic,7,12.007,41725,1,0,,8.3,3.59,17.48,73.38,0.013,0.204,12768.7,0.038,,,,,,11.37,0.34,5.58,-1333.61,20.76
104,2,Acoustic,8,13.072,41725,1,1,,8.3,2.31,20.9,67.65,0.004,0.104,10260,0.038,,,,,,6.56,0.2,98.14,868.28,11.87
110,2,Acoustic,14,11.622,41725,1,1,,4.2,1.32,24.34,51.88,0.004,0.054,5568.7,0.038,,,,,,11.2,0.34,25.93,1425.71,24.15
113,2,Acoustic,17,11.045,41725,1,0,,12.5,1.18,12.78,59.16,0.008,0.079,10260,0.008,,,,,,25,0.76,-120.76,-803.12,30.45
116,2,Acoustic,20,10.881,41725,1,0,,12.5,1.8,23.46,65.63,0.029,0.071,11813.3,0.029,,,,,,17.71,0.53,-41.86,-230.12,34.84
117,2,Acoustic,21,11.995,41725,1,0,,12.5,1.46,16.73,67.65,0.017,0.079,8360.2,0.017,,,,,,3.66,0.11,-35.76,-1623220,19.39
120,2,Acoustic,24,12.084,41725,1,0,,16.7,1.87,17.56,73.38,0.013,0.096,11137.4,0.021,,,,,,35.84,1.08,-20.17,91.42,32.62
121,2,Acoustic,25,12.734,41725,1,1,,12.5,1.44,22.46,67.65,0.008,0.054,10666.8,0.008,,,,,,26.76,0.81,-0.97,-13.7,39.29
122,2,Acoustic,26,11.51,41725,1,0,,8.3,1.38,16.99,51.88,0.004,0.079,3937.7,0.042,,,,,,12.66,0.38,3.38,-804.74,25.49
64,1,Visual,16,13.053,41618,0,1,,,,,,,,,,1.93,0.52,-156.22,-391.9,19.54,23.04,0.7,-59.16,-527.65,15.69
124,2,Acoustic,28,11.804,41725,1,1,,16.7,3.78,24.46,83.66,0.025,0.146,15751,0.075,,,,,,73.4,2.21,21.89,293.05,46.99
127,2,Acoustic,31,11.296,41725,1,0,,25,1.57,26.76,49.91,0.013,0.054,6331.4,0.033,,,,,,24.39,0.73,7.8,77.83,32.84
133,2,Acoustic,37,11.181,41725,1,1,,4.2,2.04,23.17,106.52,0.013,0.092,25565,0.013,,,,,,32.3,0.97,-8.38,110.12,25.64
134,2,Acoustic,38,12.014,41725,1,1,,12.5,1.69,20.27,52.61,0.013,0.079,8927.8,0.05,,,,,,49.21,1.51,-35.84,-201.9,42.11
135,2,Acoustic,39,11.719,41725,1,0,,12.5,2.55,21.8,105.21,0.013,0.117,13273.4,0.013,,,,,,36.69,1.09,1.31,-671.03,33.97
136,2,Acoustic,40,12.545,41725,1,0,,8.3,1.04,16.45,59.98,0.008,0.063,6410.4,0.008,,,,,,52.98,1.59,-0.2,17.74,49.61
140,2,Acoustic,44,9.464,41725,1,0,,12.5,1.5,15.22,49.91,0.004,0.088,4935.1,0.013,,,,,,62.66,1.89,19.34,33.86,46.5
66,1,Visual,18,11.978,41618,1,1,4.94,904.2,,,,,,,,4.51,6.76,157.55,170.43,75.28,10.15,0.32,61.03,1438.87,14.62
144,2,Acoustic,48,12.495,41725,1,1,,33.3,2.7,24.22,68.59,0.004,0.1,10402.8,0.013,,,,,,54.46,1.63,37.66,173.89,33.66
67,1,Visual,19,12.213,41618,1,0,1.4,950,,,,,,,,5.53,1.32,59.79,-441.05,20.37,17.41,0.52,-36.24,-1402.01,9.78
69,1,Visual,21,11.286,41618,1,1,0.36,929.2,,,,,,,,5.04,6.57,-450.39,-110.38,78.68,43.86,1.5,17.39,-176.31,35.13
70,1,Visual,22,12.103,41618,1,1,4.11,925,,,,,,,,4.86,1.62,-72.38,-162.21,27.38,26.31,0.82,-9.21,-600.65,15.01
72,1,Visual,24,11.507,41618,0,1,,,,,,,,,,3.15,0.67,314.69,1006.22,21.1,22,0.66,-2.43,199.72,13.15
73,1,Visual,25,11.384,41618,0,1,,,,,,,,,,2.79,0.89,2250.5,987.59,15.81,10.92,0.36,114.48,8921.29,9.6
77,1,Visual,29,11.369,41618,1,0,5.88,875,,,,,,,,1.94,0.42,135.34,2320.18,12.48,6.16,0.19,67.89,-1972.5,5.32
78,1,Visual,30,12.466,41618,1,1,9.42,879.2,,,,,,,,5.89,11.78,-681.74,-312.6,82.81,14.72,0.44,-11.59,-403.22,12.87
82,1,Visual,34,12.735,41618,1,0,4.11,912.5,,,,,,,,2.77,6.38,284.38,32.24,79.74,27.15,0.85,31.73,-163.27,21.64
84,1,Visual,36,12.363,41618,1,1,10.15,879.2,,,,,,,,7.87,1.83,-40.74,94.49,21.12,15.14,0.48,-35.53,-129.81,12.97
85,1,Visual,37,12.602,41618,1,0,4.43,866.7,,,,,,,,2.11,1.75,235.09,-1209.16,34.39,46.12,1.4,12.02,339.46,26.99
87,1,Visual,39,12.602,41618,1,0,0.46,945.8,,,,,,,,4.81,1.57,165.55,2619,33.57,21.89,0.69,-16.11,-121.68,19
88,1,Visual,40,11.911,41618,1,1,1.61,904.2,,,,,,,,10.31,6.57,79.03,128.95,55.66,13.17,0.4,65.99,13093.2,10.65
26,1,Acoustic,26,11.541,41619,1,0,,16.7,1.83,18.74,53.94,0.021,0.096,6472.1,0.029,,,,,,20.51,0.63,-34.27,-78.93,12.16
28,1,Acoustic,28,12.698,41619,1,0,,12.5,1.39,21.87,72.33,0.021,0.058,12247.2,0.021,,,,,,3.84,0.12,98.88,-424.53,3.39
29,1,Acoustic,29,11.856,41619,1,0,,8.3,3.19,27.21,74.52,0.004,0.113,6868.6,0.017,,,,,,31.79,1.09,-50.95,-644.79,17.02
30,1,Acoustic,30,12.817,41619,1,0,,8.3,2.15,19.8,53.19,0.025,0.096,6254.6,0.058,,,,,,28.03,0.8,17.46,-115.48,24.52
31,1,Acoustic,31,13.158,41619,1,1,,8.3,1.37,14.7,36.53,0.004,0.083,4446.2,0.042,,,,,,48.06,1.55,-15.85,224.68,31.26
33,1,Acoustic,33,11.957,41619,1,1,,8.3,1.34,13.72,63.36,0.017,0.083,8892.5,0.017,,,,,,19.74,0.66,54.1,-621.87,19.91
34,1,Acoustic,34,11.358,41619,1,1,,25,2.81,20.23,70.27,0.008,0.129,8925.8,0.008,,,,,,22.71,0.76,56.4,488.24,24.49
35,1,Acoustic,35,11.02,41619,1,0,,16.7,1.32,23.88,62.22,0.013,0.054,7842.5,0.038,,,,,,32.25,0.97,-29,-450.11,25.37
53,1,Visual,5,12.231,41618,1,0,0.36,929.2,,,,,,,,5.79,7.23,61.64,23.68,80.51,15.99,0.48,-13.75,-525.21,9.93
38,1,Acoustic,38,11.167,41619,1,0,,25,0.26,6.09,21.92,0.004,0.029,3507.4,0.013,,,,,,18.18,0.55,-16.68,53.97,12.16
39,1,Acoustic,39,12.707,41619,1,0,,8.3,1.87,19.99,104.49,0.004,0.088,5112.7,0.033,,,,,,5.46,0.16,-3.58,11325.4,6.67
40,1,Acoustic,40,11.689,41619,1,0,,20.8,1.07,15.95,51.67,0.021,0.071,11160,0.021,,,,,,36.26,1.21,10.13,-143.05,20.44
43,1,Acoustic,43,11.821,41619,1,1,,8.3,1.44,31.11,77.66,0.008,0.05,18637.4,0.008,,,,,,8.73,0.26,46.57,3472.37,11.22
44,1,Acoustic,44,11.332,41619,1,1,,8.3,1.29,18.77,77.47,0.004,0.067,5212.3,0.029,,,,,,40.01,1.21,46.01,123.97,26.76
45,1,Acoustic,45,11.93,41619,1,1,,8.3,2.16,26.64,57.92,0.008,0.075,8405.3,0.008,,,,,,39.22,1.48,-8.22,147.59,34.75
47,1,Acoustic,47,11.288,41619,1,0,,8.3,0.79,33.55,52.7,0.004,0.025,8167.7,0.021,,,,,,20.82,0.63,-91.07,-722.24,14.68
54,1,Visual,6,12.064,41618,0,1,,,,,,,,,,7.1,5.46,-141.03,-14.52,48.44,11.03,0.33,18.43,1306.71,7.09
48,1,Acoustic,48,11.529,41619,1,1,,8.3,1.18,24.78,71.3,0.008,0.046,4052.2,0.008,,,,,,19.32,0.7,76.16,1822.97,14.25
1,1,Acoustic,1,12.069,41619,1,1,,8.3,1.97,23.84,91.96,0.021,0.079,8403.8,0.021,,,,,,22.54,0.76,2.97,253.99,16.64
2,1,Acoustic,2,13.145,41619,1,0,,12.5,3.68,29.9,74.06,0.042,0.113,9638.6,0.033,,,,,,5.4,0.18,65.74,5483.83,6.04
6,1,Acoustic,6,12.394,41619,1,1,,12.5,1.59,25.91,57.16,0.008,0.058,10469.3,0.042,,,,,,5.49,0.18,19.95,-2041.64,5.12
56,1,Visual,8,12.411,41618,1,1,5.05,900,,,,,,,,3.08,6.16,187.05,45.72,77.42,25.28,1.01,43.68,668.62,25.93
22,1,Acoustic,22,11.817,41619,1,1,,8.3,2.34,22.34,56.74,0.008,0.104,9242.4,0.071,,,,,,29.22,0.96,73.16,368.34,17.87
23,1,Acoustic,23,10.342,41619,1,0,,8.3,1.39,9.54,62.47,0.013,0.138,4830.2,0.013,,,,,,37.3,1,21.31,-42.97,24.52
