"","Matz_Number","Serial","Replicate","Assay","PC1Group","PC2Group","PC3Group","Size_mm","Date","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility"
"101",101,147,2,"visual",-0.44,-0.11,NA,10.705,41726,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,2.54,590.97,-170.2,48.07,8.98,0.44,536.78,1604.84,18.18
"102",102,148,2,"visual",-0.68,-0.4,NA,11.364,41726,1,1,7.08,854.2,NA,NA,NA,NA,NA,NA,NA,4.59,0.96,78.87,-457.92,24.41,45.99,1.38,16.67,-509.79,25.6
"105",105,151,2,"visual",-0.24,-0.93,NA,10.835,41726,1,1,8.87,825,NA,NA,NA,NA,NA,NA,NA,9.23,2.45,15.84,389.52,49.08,18.7,0.56,-11.91,300.74,14.51
"106",106,152,2,"visual",1.15,1.2,NA,9.611,41726,1,1,4.42,908.3,NA,NA,NA,NA,NA,NA,NA,2.73,8.18,30.06,-48.14,82.03,20.53,0.61,-6.29,-204.81,12.97
"107",107,153,2,"visual",-0.18,-0.24,NA,11.504,41726,1,0,3.09,916.7,NA,NA,NA,NA,NA,NA,NA,5.96,3.03,-18.04,65.28,43.05,22.78,0.69,-39.47,-1686.17,26.25
"108",108,154,2,"visual",0.47,1.06,NA,11.202,41726,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,6.05,196.74,159.43,67.95,71.05,2.12,52.24,73.21,33.7
"109",109,155,2,"visual",-1.17,0.67,NA,11.69,41726,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44,1.15,422.06,832.69,30.11,43.91,1.32,-68.15,2524.68,30.18
"110",110,156,2,"visual",-0.02,-0.5,NA,10.914,41726,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08,2.22,-197.27,-240.97,46.49,26.63,0.9,-26.1,-352.89,28.88
"112",112,158,2,"visual",-0.36,0.73,NA,8.975,41726,1,1,8.27,1000,NA,NA,NA,NA,NA,NA,NA,1.72,2.86,176.62,-207.65,37.94,12.25,0.37,81.17,1033.78,12.78
"113",113,159,2,"visual",1.35,-0.15,NA,10.116,41726,1,0,2.28,920.8,NA,NA,NA,NA,NA,NA,NA,8.19,9.09,-129.55,42.25,80.32,6.1,0.18,21.73,-2453.87,8.68
"116",116,163,2,"visual",-0.13,0.3,NA,11.87,41726,1,1,8.28,887.5,NA,NA,NA,NA,NA,NA,NA,3.63,3.03,-175.42,13.39,41.16,9.78,0.3,5.36,-6086.74,12.76
"117",117,164,2,"visual",-0.85,-0.05,NA,10.191,41726,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85,2.5,413.88,1303.29,44.04,39.02,1.17,-52.98,-441.49,29.55
"119",119,166,2,"visual",-0.09,-1.91,NA,10.152,41726,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05,3.09,450.51,-862.24,44.2,16.61,0.5,49.79,-43.52,16.17
"11",11,59,1,"visual",1.09,0.34,NA,12.537,41618,1,1,4.53,908.3,NA,NA,NA,NA,NA,NA,NA,5.95,7.44,76.39,-20.07,84.28,37.14,1.12,-48.81,-1740.61,16.9
"123",123,170,2,"visual",0.51,-2.74,NA,11,41726,1,1,8.54,866.7,NA,NA,NA,NA,NA,NA,NA,15.98,4.84,138,-310.28,62.45,13.59,0.41,97.75,1165.79,15.25
"124",124,172,2,"visual",-0.83,0.21,NA,10.759,41726,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1.06,310.78,360.46,37.53,47.24,1.62,83.17,504.43,38.17
"126",126,174,2,"visual",-1.53,0.85,NA,10.053,41726,1,0,3.02,987.5,NA,NA,NA,NA,NA,NA,NA,3.82,1.47,694.18,1308.64,24.58,38.39,1.43,163.75,-348.53,25.16
"129",129,178,2,"visual",-0.23,-0.68,NA,10.614,41726,1,0,0.91,975,NA,NA,NA,NA,NA,NA,NA,5.03,1.02,-41.06,-909.91,37.05,54.81,1.66,4.38,-250.93,34.73
"12",12,60,1,"visual",1.16,1.33,NA,12.356,41618,1,1,2.13,929.2,NA,NA,NA,NA,NA,NA,NA,2.52,8.38,138.06,-19.07,85.33,40.37,1.24,-11.07,-266.07,22.4
"143",143,97,2,"acoustic",-0.47,0.83,-1.04,11.31,41725,1,1,NA,8.3,1.33,23.34,67.65,0.004,0.054,3236.2,0.021,NA,NA,NA,NA,NA,26.72,0.82,-39.8,-63.73,49.66
"145",145,99,2,"acoustic",0.23,-0.38,0.42,10.894,41725,1,0,NA,20.8,1.62,34.93,69.61,0.042,0.046,12768.7,0.042,NA,NA,NA,NA,NA,27.99,0.84,-37.42,-1004.9,25.25
"149",149,103,2,"acoustic",0.98,-1.28,1.83,12.007,41725,1,0,NA,8.3,3.59,17.48,73.38,0.013,0.204,12768.7,0.038,NA,NA,NA,NA,NA,11.37,0.34,5.58,-1333.61,20.76
"150",150,104,2,"acoustic",0.24,0.16,-0.45,13.072,41725,1,1,NA,8.3,2.31,20.9,67.65,0.004,0.104,10260,0.038,NA,NA,NA,NA,NA,6.56,0.2,98.14,868.28,11.87
