"ID" "Group"
"1" "5" "High"
"2" "6" "Medium"
"3" "8" "High"
"4" "11" "High"
"5" "12" "High"
"6" "16" "Low"
"7" "18" "High"
"8" "19" "Low"
"9" "21" "High"
"10" "22" "Medium"
"11" "24" "Low"
"12" "25" "Low"
"13" "29" "Low"
"14" "30" "High"
"15" "34" "High"
"16" "36" "Low"
"17" "37" "Medium"
"18" "39" "Low"
"19" "40" "Medium"
"20" "101" "Medium"
"21" "102" "Low"
"22" "105" "Medium"
"23" "106" "High"
"24" "107" "Medium"
"25" "108" "High"
"26" "109" "Low"
"27" "110" "Medium"
"28" "112" "Medium"
"29" "113" "High"
"30" "116" "Medium"
"31" "117" "Low"
"32" "119" "Medium"
"33" "123" "High"
"34" "124" "Low"
"35" "126" "Low"
"36" "129" "Medium"
